A1, 50.00, 30.61, 0.00, ESP32-WROVER-I, XCVR_ESP32-WROVER-I
C1, 73.66, 35.56, 90.00, 100nF, 0805
C10, 91.06, 28.96, 90.00, 100nF, 0805
C11, 80.14, 32.00, 180.00, 47uF, EIA3528
C12, 83.82, 28.96, 90.00, 100nF, 0805
C13, 94.87, 31.88, 0.00, 47uF, EIA3528
C14, 91.06, 25.27, 270.00, 10uF, 0805
C15, 88.65, 25.27, 270.00, 1uF, 0805
C16, 86.36, 25.27, 270.00, 10nF, 0805
C17, 81.28, 13.59, 180.00, 10nF, 0805
C18, 94.74, 17.53, 180.00, 47uF, EIA3528
C19, 76.45, 17.78, 180.00, 47uF, EIA3528
C2, 16.51, 20.32, 0.00, 10uF, 0805
C20, 89.66, 39.62, 0.00, 100nF, 0805
C21, 85.34, 39.62, 180.00, 10uF, 0805
C22, 89.15, 13.59, 180.00, 220nF, 0805
C23, 94.74, 8.89, 0.00, 10nF, 0805
C24, 76.20, 9.14, 180.00, 10nF, 0805
C25, 83.82, 25.27, 270.00, 1uF, 0805
C26, 81.53, 25.27, 270.00, 10uF, 0805
C3, 63.50, 43.18, 270.00, 2.2uF, 0805
C4, 66.04, 43.18, 270.00, 100nF, 0805
C5, 45.34, 9.14, 180.00, 1uF, 0805
C6, 4.32, 38.99, 90.00, 470pF, 0805
C7, 7.62, 40.64, 0.00, 10uF, 0805
C8, 21.59, 27.94, 270.00, 100nF, 0805
C9, 21.59, 24.13, 270.00, 100nF, 0805
D2, 20.32, 31.75, 0.00, 1A/40V/500mV, SMA-DIODE
J1, 16.76, 12.84, 0.00, MICROSD-PUSH-OUT, MICROSD-PUSH-OUT
J2, 66.04, 3.50, 0.00, , 1X04_1MM_RA
J3, 33.66, 3.39, 90.00, , USB-B-MICRO-SMD
J4, 6.39, 26.29, 90.00, , JST-2-SMD
JP1, 27.94, 20.96, 180.00, JP Bootstrap, SMT-JUMPER_2_NC_TRACE_NO-SILK
PAM84031, 84.96, 18.92, 0.00, PAM8403, SOP-16
Q1, 11.48, 38.10, 90.00, 1.1A/60V/600mΩ, SOT23-3
R1, 68.58, 43.18, 90.00, 10K, 0805
R10, 20.70, 40.01, 180.00, 10K, 0805
R11, 20.70, 42.55, 180.00, 10K, 0805
R12, 37.72, 45.09, 0.00, 10K, 0805
R13, 37.72, 42.55, 0.00, 10K, 0805
R14, 20.70, 34.93, 180.00, 10K, 0805
R15, 20.70, 37.47, 180.00, 10K, 0805
R16, 37.72, 40.01, 0.00, 10K, 0805
R17, 63.50, 31.75, 90.00, 100K, 0805
R18, 37.72, 37.47, 0.00, 10K, 0805
R19, 63.50, 27.94, 270.00, 10, 0805
R2, 53.98, 3.81, 90.00, 2K2, 0805
R20, 20.70, 45.09, 180.00, 10K, 0805
