"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"BOM";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"MF";"MP";"PACKAGE";"PRICE";"PROD_ID";"SF_ID";"SF_SKU";"VALUE";
"A1";"ESP32-WROVER-I";"ESP32-WROVER-I";"XCVR_ESP32-WROVER-I";"Module: combo; GPIO, I2C x2, I2S x2, SDIO, SPI x3, UART x3; U.FL";"Unavailable";"";" Module: combo";" GPIO, I2C x2, I2S x2, SDIO, SPI x3, UART x3";" U.FL ";"";"";"Espressif Systems";"ESP32-WROVER-I";"Module Espressif Systems";"None";"";"";
"C1";"100nF";"2.2UF-0805-25V-(+80/-20%)";"0805";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11624";"";"";"2.2uF";
"C2";"10uF";"2.2UF-0805-25V-(+80/-20%)";"0805";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11624";"";"";"2.2uF";
"C3";"2.2uF";"2.2UF-0805-25V-(+80/-20%)";"0805";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11624";"";"";"2.2uF";
"C4";"100nF";"2.2UF-0805-25V-(+80/-20%)";"0805";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11624";"";"";"2.2uF";
"C5";"1uF";"2.2UF-0805-25V-(+80/-20%)";"0805";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11624";"";"";"2.2uF";
"C6";"470pF";"2.2UF-0805-25V-(+80/-20%)";"0805";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11624";"";"";"2.2uF";
"C7";"10uF";"2.2UF-0805-25V-(+80/-20%)";"0805";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11624";"";"";"2.2uF";
"C8";"100nF";"2.2UF-0805-25V-(+80/-20%)";"0805";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11624";"";"";"2.2uF";
"C9";"100nF";"2.2UF-0805-25V-(+80/-20%)";"0805";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11624";"";"";"2.2uF";
"C10";"100nF";"2.2UF-0805-25V-(+80/-20%)";"0805";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11624";"";"";"2.2uF";
"C11";"47uF";"47UF-POLAR-EIA3528-10V-10%";"EIA3528";"47µF polarized capacitors";"";"";"";"";"";"";"";"";"";"CAP-08310";"";"";"47uF";
"C12";"100nF";"2.2UF-0805-25V-(+80/-20%)";"0805";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11624";"";"";"2.2uF";
"C13";"47uF";"47UF-POLAR-EIA3528-10V-10%";"EIA3528";"47µF polarized capacitors";"";"";"";"";"";"";"";"";"";"CAP-08310";"";"";"47uF";
"C14";"10uF";"2.2UF-0805-25V-(+80/-20%)";"0805";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11624";"";"";"2.2uF";
"C15";"1uF";"2.2UF-0805-25V-(+80/-20%)";"0805";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11624";"";"";"2.2uF";
"C16";"10nF";"2.2UF-0805-25V-(+80/-20%)";"0805";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11624";"";"";"2.2uF";
"C17";"10nF";"2.2UF-0805-25V-(+80/-20%)";"0805";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11624";"";"";"2.2uF";
"C18";"47uF";"47UF-POLAR-EIA3528-10V-10%";"EIA3528";"47µF polarized capacitors";"";"";"";"";"";"";"";"";"";"CAP-08310";"";"";"47uF";
"C19";"47uF";"47UF-POLAR-EIA3528-10V-10%";"EIA3528";"47µF polarized capacitors";"";"";"";"";"";"";"";"";"";"CAP-08310";"";"";"47uF";
"C20";"100nF";"2.2UF-0805-25V-(+80/-20%)";"0805";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11624";"";"";"2.2uF";
"C21";"10uF";"2.2UF-0805-25V-(+80/-20%)";"0805";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11624";"";"";"2.2uF";
"C22";"220nF";"2.2UF-0805-25V-(+80/-20%)";"0805";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11624";"";"";"2.2uF";
"C23";"10nF";"2.2UF-0805-25V-(+80/-20%)";"0805";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11624";"";"";"2.2uF";
"C24";"10nF";"2.2UF-0805-25V-(+80/-20%)";"0805";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11624";"";"";"2.2uF";
"C25";"1uF";"2.2UF-0805-25V-(+80/-20%)";"0805";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11624";"";"";"2.2uF";
"C26";"10uF";"2.2UF-0805-25V-(+80/-20%)";"0805";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11624";"";"";"2.2uF";
"D1";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"";"";"";"";"";"";"";"";"";"DIO-08575";"";"";"BLUE";
"D2";"1A/40V/500mV";"DIODE-SCHOTTKY-SS14";"SMA-DIODE";"Schottky diode";"";"";"";"";"";"";"";"";"";"DIO-08053";"";"";"1A/40V/500mV";
"H1";"MICROBUILDER_MOUNTINGHOLE3.0THIN";"MICROBUILDER_MOUNTINGHOLE3.0THIN";"MICROBUILDER_MOUNTINGHOLE_3.0_PLATEDTHIN";"Mounting Hole";"";"EXCLUDE";"";"";"";"";"";"";"";"";"";"";"";
"H2";"MICROBUILDER_MOUNTINGHOLE3.0THIN";"MICROBUILDER_MOUNTINGHOLE3.0THIN";"MICROBUILDER_MOUNTINGHOLE_3.0_PLATEDTHIN";"Mounting Hole";"";"EXCLUDE";"";"";"";"";"";"";"";"";"";"";"";
"H3";"MICROBUILDER_MOUNTINGHOLE3.0THIN";"MICROBUILDER_MOUNTINGHOLE3.0THIN";"MICROBUILDER_MOUNTINGHOLE_3.0_PLATEDTHIN";"Mounting Hole";"";"EXCLUDE";"";"";"";"";"";"";"";"";"";"";"";
"H4";"MICROBUILDER_MOUNTINGHOLE3.0THIN";"MICROBUILDER_MOUNTINGHOLE3.0THIN";"MICROBUILDER_MOUNTINGHOLE_3.0_PLATEDTHIN";"Mounting Hole";"";"EXCLUDE";"";"";"";"";"";"";"";"";"";"";"";
"J1";"MICROSD-PUSH-OUT";"MICROSD-PUSH-OUT";"MICROSD-PUSH-OUT";"T-Flash Push-Out Micro SD Card Reader";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J2";"";"QWIIC_CONNECTORJS-1MM";"1X04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"";"";"";"";"";"";"";"";"";"CONN-13694";"";"";"";
"J3";"";"USB_MICRO-B_FEMALE-SMT";"USB-B-MICRO-SMD";"USB Type Micro-B Connector";"";"";"";"";"";"";"";"";"";"CONN-11752";"";"";"";
"J4";"";"JST_2MM_MALE";"JST-2-SMD";"JST 2MM MALE RA CONNECTOR";"";"";"";"";"";"";"";"";"";"CONN-11443";"PRT-08612";"";"";
"J5";"AUDIO_JACK_3.5MM_PTH";"AUDIO_JACK_3.5MM_PTH";"AUDIO-JACK";"Audio Jack";"";"";"";"";"";"";"";"";"";"CONN-08774";"PRT-08032";"";"";
"JP1";"JP Bootstrap";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"SMT-JUMPER_2_NC_TRACE_NO-SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP2";"";"PINHD-1X2_2.00";"1X02M";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LCD1";"ILI9341-2.4";"ILI9341-2.4";"ILI9341-2.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PAM84031";"PAM8403";"PAM8403";"SOP-16";"Dual channel audio amplifier IC - PAM8403";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Q1";"1.1A/60V/600mΩ";"MOSFET_PCH-SI2309DS";"SOT23-3";"P-channel MOSFETs";"";"";"";"";"";"";"";"";"";"TRANS-08285";"";"";"1.1A/60V/600mΩ";
"R1";"10K";"0.22OHM-0805-1/4W-1%";"0805";"0.22Ω resistor";"";"";"";"";"";"";"";"";"";"RES-09883";"";"";"0.22";
"R2";"2K2";"0.22OHM-0805-1/4W-1%";"0805";"0.22Ω resistor";"";"";"";"";"";"";"";"";"";"RES-09883";"";"";"0.22";
"R3";"10K";"0.22OHM-0805-1/4W-1%";"0805";"0.22Ω resistor";"";"";"";"";"";"";"";"";"";"RES-09883";"";"";"0.22";
